date,name,amount,level
"2023-09-20 19:05:07.911060",Abra,0,333
"2023-09-21 12:02:56.519522",Abra,0,333
"2023-09-22 08:12:35.395135",Abra,0,333
"2023-09-23 01:59:14.396603",Abra,0,333
"2023-09-24 10:33:58.136366",Abra,0,333
"2023-09-25 08:41:46.292057",Abra,0,333
"2023-09-26 00:12:27.896828",Abra,0,333
"2023-09-27 00:12:24.660100",Abra,0,333
"2023-09-28 00:12:26.043224",Abra,0,333
"2023-09-29 00:12:27.680854",Abra,0,333
"2023-09-30 00:12:24.185336",Abra,0,333
"2023-10-01 00:12:30.736071",Abra,0,333
"2023-10-02 00:12:36.209704",Abra,0,333
"2023-10-03 00:12:28.274145",Abra,0,333
"2023-10-04 00:12:32.070924",Abra,0,333
"2023-10-05 00:12:31.380725",Abra,0,333
"2023-10-06 00:12:27.466827",Abra,0,333
"2023-10-07 00:12:26.915795",Abra,0,333
"2023-10-08 00:12:26.976148",Abra,0,333
"2023-10-09 00:12:31.023502",Abra,0,333
"2023-10-10 00:12:19.226690",Abra,0,333
"2023-10-11 00:12:20.927097",Abra,0,333
"2023-10-12 00:12:27.759751",Abra,0,333
"2023-10-13 00:12:14.948489",Abra,0,333
"2023-10-14 00:12:28.600619",Abra,0,333
"2023-10-15 00:12:19.701533",Abra,0,333
"2023-10-16 00:12:28.194652",Abra,0,333
"2023-10-17 00:12:31.753172",Abra,0,333
"2023-10-18 00:12:36.790208",Abra,0,333
"2023-10-19 00:12:29.573671",Abra,0,333
"2023-10-20 00:12:33.903968",Abra,0,333
"2023-10-21 00:12:30.424205",Abra,0,333
"2023-10-22 00:12:25.058205",Abra,0,333
"2023-10-23 00:12:22.975509",Abra,0,333
"2023-10-24 00:12:29.939350",Abra,0,333
"2023-10-25 00:12:29.175526",Abra,0,333
"2023-10-26 00:12:22.840059",Abra,0,333
"2023-10-27 00:12:26.000643",Abra,0,333
"2023-10-28 21:43:31.317484",Abra,0,333
"2023-10-29 00:12:26.830401",Abra,0,333
"2023-10-30 00:12:22.005363",Abra,0,333
"2023-10-31 00:12:24.889519",Abra,0,333
"2023-11-01 00:12:24.793711",Abra,0,333
"2023-11-02 00:12:23.726843",Abra,0,333
"2023-11-03 00:12:22.030931",Abra,0,333
"2023-09-20 19:05:16.705811",Aladinzs,107002,672
"2023-09-21 12:03:04.058932",Aladinzs,18513,672
"2023-09-22 08:12:43.873159",Aladinzs,0,672
"2023-09-23 01:59:22.013659",Aladinzs,0,672
"2023-09-24 10:34:12.472778",Aladinzs,0,672
"2023-09-25 08:42:00.274687",Aladinzs,173884,672
"2023-09-26 00:12:43.309387",Aladinzs,0,672
"2023-09-27 00:12:38.473010",Aladinzs,0,672
"2023-09-28 00:12:40.245506",Aladinzs,0,672
"2023-09-29 00:12:42.896954",Aladinzs,0,672
"2023-09-30 00:12:38.857671",Aladinzs,777226,672
"2023-10-01 00:12:44.767204",Aladinzs,245229,672
"2023-10-02 00:12:50.676305",Aladinzs,271489,672
"2023-10-03 00:12:42.309234",Aladinzs,369600,672
"2023-10-04 00:12:47.167914",Aladinzs,306284,672
