date,name,amount,level
"2023-12-01 00:12:47.146008",Abra,0,333
"2023-12-02 00:12:42.007480",Abra,0,333
"2023-12-03 00:12:42.549261",Abra,0,333
"2023-12-04 00:12:47.114250",Abra,0,333
"2023-12-05 00:12:47.277955",Abra,0,333
"2023-12-06 00:12:42.022662",Abra,0,333
"2023-12-07 00:12:42.493318",Abra,0,333
"2023-12-08 00:12:41.572511",Abra,0,333
"2023-12-09 00:12:41.919661",Abra,0,333
"2023-12-10 00:12:22.604099",Abra,0,333
"2023-12-11 00:12:24.149743",Abra,0,333
"2023-12-12 00:12:32.380946",Abra,0,333
"2023-12-13 00:12:30.758905",Abra,0,333
"2023-12-14 00:12:27.462048",Abra,0,333
"2023-12-15 00:12:30.670381",Abra,0,333
"2023-12-16 00:12:32.718794",Abra,0,333
"2023-12-17 00:12:29.940959",Abra,0,333
"2023-12-01 00:13:02.239114",Aladinzs,20068,671
"2023-12-02 00:12:55.957666",Aladinzs,51612,671
"2023-12-03 00:12:57.779094",Aladinzs,58969,671
"2023-12-04 00:13:02.194777",Aladinzs,34462,671
"2023-12-05 00:13:02.124898",Aladinzs,31770,671
"2023-12-06 00:12:55.954064",Aladinzs,29571,671
"2023-12-07 00:12:56.589672",Aladinzs,35186,671
"2023-12-08 00:12:55.410587",Aladinzs,-48463587,669
"2023-12-09 00:12:56.284652",Aladinzs,37008,669
"2023-12-10 00:12:38.438304",Aladinzs,0,669
"2023-12-11 00:12:38.686450",Aladinzs,23732,669
"2023-12-12 00:12:48.024199",Aladinzs,30241,669
"2023-12-13 00:12:46.790183",Aladinzs,18503,669
"2023-12-14 00:12:43.676937",Aladinzs,22819,669
"2023-12-15 00:12:46.493257",Aladinzs,18629,669
"2023-12-16 00:12:47.987574",Aladinzs,19701,669
"2023-12-17 00:12:44.852885",Aladinzs,86170,669
"2023-12-18 00:12:31.365825",Aladinzs,60830,669
"2023-12-19 00:12:35.775887",Aladinzs,27278,669
"2023-12-20 00:12:34.499556",Aladinzs,0,669
"2023-12-21 00:12:33.792906",Aladinzs,0,669
"2023-12-22 00:12:35.460819",Aladinzs,24734,669
"2023-12-23 00:12:32.878119",Aladinzs,0,669
"2023-12-24 00:12:37.084845",Aladinzs,0,669
"2023-12-25 00:12:37.261170",Aladinzs,0,669
"2023-12-26 00:12:31.460775",Aladinzs,21549,669
"2023-12-27 00:12:33.032061",Aladinzs,27912,669
"2023-12-28 00:12:33.977032",Aladinzs,14787,669
"2023-12-29 00:12:27.030484",Aladinzs,13603,669
"2023-12-30 00:12:28.772146",Aladinzs,0,669
"2023-12-01 00:13:22.129649",Alakazhan,0,537
"2023-12-02 00:13:18.187453",Alakazhan,0,537
"2023-12-03 00:13:19.637090",Alakazhan,0,537
"2023-12-04 00:13:22.325179",Alakazhan,0,537
"2023-12-05 00:13:21.288289",Alakazhan,0,537
"2023-12-06 00:13:17.884305",Alakazhan,0,537
"2023-12-07 00:13:18.705283",Alakazhan,0,537
"2023-12-08 00:13:17.004314",Alakazhan,0,537
"2023-12-09 00:13:18.683536",Alakazhan,0,537
"2023-12-10 00:12:52.877898",Alakazhan,0,537
"2023-12-11 00:12:53.240969",Alakazhan,0,537
"2023-12-12 00:13:06.210197",Alakazhan,0,537
"2023-12-13 00:13:03.429342",Alakazhan,0,537
"2023-12-14 00:12:58.652962",Alakazhan,0,537
"2023-12-15 00:13:02.875288",Alakazhan,0,537
"2023-12-16 00:13:08.705848",Alakazhan,0,537
"2023-12-17 00:12:59.730494",Alakazhan,0,537
"2023-12-18 00:12:46.666779",Alakazhan,0,537
"2023-12-19 00:12:52.596060",Alakazhan,0,537
"2023-12-20 00:12:50.953357",Alakazhan,0,537
"2023-12-21 00:12:50.364184",Alakazhan,0,537
"2023-12-22 00:12:51.393601",Alakazhan,0,537
"2023-12-23 00:12:49.050115",Alakazhan,0,537
"2023-12-24 00:12:52.756008",Alakazhan,0,537
"2023-12-25 00:12:53.495445",Alakazhan,0,537
"2023-12-26 00:12:47.848052",Alakazhan,0,537
"2023-12-27 00:12:48.591677",Alakazhan,0,537
"2023-12-28 00:12:50.711707",Alakazhan,0,537
"2023-12-29 00:12:42.002431",Alakazhan,0,537
"2023-12-30 00:12:43.918507",Alakazhan,0,537
"2023-12-01 00:10:47.756421",Angie,0,887
"2023-12-02 00:10:45.762213",Angie,0,887
"2023-12-03 00:10:46.161025",Angie,467558,887
"2023-12-04 00:10:47.480533",Angie,51345386,888
"2023-12-05 00:10:47.892879",Angie,0,888
"2023-12-06 00:10:45.908803",Angie,141657,888
"2023-12-07 00:10:46.418311",Angie,0,888
"2023-12-08 00:10:44.737368",Angie,0,888
"2023-12-09 00:10:46.428427",Angie,78509300,890
"2023-12-10 00:10:45.078322",Angie,110699560,893
"2023-12-11 00:10:44.731532",Angie,37318857,894
"2023-12-12 00:10:48.542214",Angie,135244034,897
"2023-12-13 00:10:48.057982",Angie,98967,897
"2023-12-14 00:10:46.574504",Angie,47809607,898
"2023-12-15 00:10:48.126248",Angie,0,898
"2023-12-16 00:10:48.632810",Angie,3156288,898
"2023-12-17 00:10:46.934573",Angie,37970,898
"2023-12-18 00:10:46.739314",Angie,0,898
"2023-12-19 00:10:47.941237",Angie,156779,898
"2023-12-20 00:10:47.830333",Angie,13543,898
"2023-12-21 00:10:48.364608",Angie,81642330,900
"2023-12-22 00:10:47.099981",Angie,18649195,901
"2023-12-23 00:10:47.312885",Angie,482120,901
"2023-12-24 00:10:50.435238",Angie,34524771,902
"2023-12-25 00:10:47.851189",Angie,77978290,904
"2023-12-26 00:10:47.152738",Angie,8306847,904
"2023-12-27 00:10:47.478560",Angie,114154653,908
"2023-12-28 00:10:47.861206",Angie,48848238,908
"2023-12-29 00:10:45.672333",Angie,0,908
"2023-12-30 00:10:45.729773",Angie,0,908
"2023-12-01 00:13:32.727960",Annora,0,223
"2023-12-02 00:13:28.702532",Annora,0,223
"2023-12-03 00:13:30.216863",Annora,0,223
"2023-12-04 00:13:33.922211",Annora,0,223
"2023-12-05 00:13:32.182966",Annora,0,223
"2023-12-06 00:13:28.689145",Annora,0,223
"2023-12-07 00:13:29.135006",Annora,0,223
"2023-12-08 00:13:28.208054",Annora,0,223
"2023-12-09 00:13:30.445525",Annora,0,223
"2023-12-10 00:13:05.892986",Annora,0,223
"2023-12-11 00:13:06.693028",Annora,0,223
"2023-12-12 00:13:19.589219",Annora,0,223
"2023-12-13 00:13:17.997145",Annora,0,223
"2023-12-14 00:13:12.915437",Annora,0,223
"2023-12-15 00:13:17.352496",Annora,0,223
"2023-12-16 00:13:21.264323",Annora,0,223
"2023-12-17 00:13:14.861617",Annora,0,223
"2023-12-18 00:12:57.476562",Annora,0,223
"2023-12-19 00:13:06.074740",Annora,0,223
