date,name,amount,level
"2023-11-01 00:12:24.793711",Abra,0,333
"2023-11-02 00:12:23.726843",Abra,0,333
"2023-11-03 00:12:22.030931",Abra,0,333
"2023-11-04 00:12:21.525676",Abra,0,333
"2023-11-05 00:12:25.162382",Abra,0,333
"2023-11-06 00:12:25.192505",Abra,0,333
"2023-11-07 00:12:25.561218",Abra,0,333
"2023-11-08 00:12:22.899244",Abra,0,333
"2023-11-09 00:12:23.999178",Abra,0,333
"2023-11-10 00:12:28.741856",Abra,0,333
"2023-11-11 00:12:24.617469",Abra,0,333
"2023-11-12 00:12:25.396509",Abra,0,333
"2023-11-13 00:12:24.893696",Abra,0,333
"2023-11-14 00:12:38.045559",Abra,0,333
"2023-11-15 00:12:38.995610",Abra,0,333
"2023-11-16 00:12:42.630059",Abra,0,333
"2023-11-17 00:12:42.973635",Abra,0,333
"2023-11-18 00:12:42.143289",Abra,0,333
"2023-11-19 00:12:40.865035",Abra,0,333
"2023-11-20 00:12:41.995533",Abra,0,333
"2023-11-21 00:12:42.960892",Abra,0,333
"2023-11-22 00:12:45.255737",Abra,0,333
"2023-11-23 00:12:47.082995",Abra,0,333
"2023-11-24 00:12:42.510480",Abra,0,333
"2023-11-25 00:12:43.855882",Abra,0,333
"2023-11-26 00:12:48.190427",Abra,0,333
"2023-11-27 00:12:45.864808",Abra,0,333
"2023-11-28 00:12:47.528815",Abra,0,333
"2023-11-29 00:12:43.472220",Abra,0,333
"2023-11-30 00:12:42.162568",Abra,0,333
"2023-12-01 00:12:47.146008",Abra,0,333
"2023-11-01 00:12:40.294523",Aladinzs,0,671
"2023-11-02 00:12:39.758733",Aladinzs,1890853,671
"2023-11-03 00:12:38.125176",Aladinzs,884697,671
"2023-11-04 00:12:36.217451",Aladinzs,0,671
"2023-11-05 00:12:39.905453",Aladinzs,67472,671
"2023-11-06 00:12:41.136512",Aladinzs,0,671
"2023-11-07 00:12:40.488956",Aladinzs,34373,671
"2023-11-08 00:12:37.506071",Aladinzs,965781,671
"2023-11-09 00:12:38.707016",Aladinzs,0,671
"2023-11-10 00:12:44.838191",Aladinzs,282662,671
"2023-11-11 00:12:40.033356",Aladinzs,30160,671
"2023-11-12 00:12:39.479295",Aladinzs,0,671
"2023-11-13 00:12:38.926634",Aladinzs,257091,671
"2023-11-14 00:12:51.972822",Aladinzs,0,671
"2023-11-15 00:12:52.840437",Aladinzs,345666,671
"2023-11-16 00:12:56.803027",Aladinzs,107847,671
"2023-11-17 00:12:57.316270",Aladinzs,0,671
"2023-11-18 00:12:56.554884",Aladinzs,36220,671
"2023-11-19 00:12:54.980449",Aladinzs,7592,671
"2023-11-20 00:12:55.900855",Aladinzs,350626,671
"2023-11-21 00:12:56.968215",Aladinzs,0,671
"2023-11-22 00:12:59.282467",Aladinzs,10809,671
"2023-11-23 00:13:01.938645",Aladinzs,3663,671
"2023-11-24 00:12:56.674460",Aladinzs,26785,671
"2023-11-25 00:12:57.906176",Aladinzs,247133,671
"2023-11-26 00:13:04.928393",Aladinzs,0,671
"2023-11-27 00:13:00.142846",Aladinzs,84884,671
"2023-11-28 00:13:02.831048",Aladinzs,22332,671
"2023-11-29 00:12:58.779985",Aladinzs,212364,671
"2023-11-30 00:12:56.739729",Aladinzs,24064,671
"2023-12-01 00:13:02.239114",Aladinzs,20068,671
"2023-11-01 00:12:54.897489",Alakazhan,0,537
"2023-11-02 00:12:54.492905",Alakazhan,0,537
"2023-11-03 00:12:52.779327",Alakazhan,0,537
"2023-11-04 00:12:50.756379",Alakazhan,0,537
"2023-11-05 00:12:54.360654",Alakazhan,0,537
"2023-11-06 00:12:55.668519",Alakazhan,0,537
"2023-11-07 00:12:55.202755",Alakazhan,0,537
"2023-11-08 00:12:52.462130",Alakazhan,0,537
"2023-11-09 00:12:53.521463",Alakazhan,0,537
"2023-11-10 00:12:59.703422",Alakazhan,0,537
"2023-11-11 00:12:54.473211",Alakazhan,0,537
"2023-11-12 00:12:54.750982",Alakazhan,0,537
"2023-11-13 00:12:53.901364",Alakazhan,0,537
"2023-11-14 00:13:12.383505",Alakazhan,0,537
"2023-11-15 00:13:14.306625",Alakazhan,0,537
"2023-11-16 00:13:18.478604",Alakazhan,0,537
"2023-11-17 00:13:19.498320",Alakazhan,0,537
"2023-11-18 00:13:19.921374",Alakazhan,0,537
"2023-11-19 00:13:16.678238",Alakazhan,0,537
"2023-11-20 00:13:17.997599",Alakazhan,0,537
"2023-11-21 00:13:19.109719",Alakazhan,0,537
"2023-11-22 00:13:21.544777",Alakazhan,0,537
"2023-11-23 00:13:21.403369",Alakazhan,0,537
"2023-11-24 00:13:20.054826",Alakazhan,0,537
"2023-11-25 00:13:20.047421",Alakazhan,0,537
"2023-11-26 00:13:23.105888",Alakazhan,0,537
"2023-11-27 00:13:21.244478",Alakazhan,0,537
"2023-11-28 00:13:22.186484",Alakazhan,0,537
"2023-11-29 00:13:20.885154",Alakazhan,0,537
"2023-11-30 00:13:19.099067",Alakazhan,0,537
"2023-12-01 00:13:22.129649",Alakazhan,0,537
"2023-11-01 00:10:45.059244",Angie,0,883
"2023-11-02 00:10:46.426784",Angie,0,883
"2023-11-03 00:10:45.181659",Angie,0,883
"2023-11-04 00:10:46.530454",Angie,0,883
"2023-11-05 00:10:46.126693",Angie,323083,883
"2023-11-06 00:10:46.365420",Angie,0,883
"2023-11-07 00:10:46.567540",Angie,0,883
"2023-11-08 00:10:45.802937",Angie,43354585,884
"2023-11-09 00:10:44.801882",Angie,0,884
"2023-11-10 00:10:46.433523",Angie,0,884
"2023-11-11 00:10:46.365312",Angie,0,884
"2023-11-12 00:10:45.025604",Angie,0,884
"2023-11-13 00:10:43.922698",Angie,0,884
"2023-11-14 00:10:43.984412",Angie,0,884
"2023-11-15 00:10:45.834802",Angie,210119,884
"2023-11-16 00:10:46.486473",Angie,0,884
"2023-11-17 00:10:45.168436",Angie,1010530,884
