date,name,amount,level
"2023-10-01 00:12:30.736071",Abra,0,333
"2023-10-02 00:12:36.209704",Abra,0,333
"2023-10-03 00:12:28.274145",Abra,0,333
"2023-10-04 00:12:32.070924",Abra,0,333
"2023-10-05 00:12:31.380725",Abra,0,333
"2023-10-06 00:12:27.466827",Abra,0,333
"2023-10-07 00:12:26.915795",Abra,0,333
"2023-10-08 00:12:26.976148",Abra,0,333
"2023-10-09 00:12:31.023502",Abra,0,333
"2023-10-10 00:12:19.226690",Abra,0,333
"2023-10-11 00:12:20.927097",Abra,0,333
"2023-10-12 00:12:27.759751",Abra,0,333
"2023-10-13 00:12:14.948489",Abra,0,333
"2023-10-14 00:12:28.600619",Abra,0,333
"2023-10-15 00:12:19.701533",Abra,0,333
"2023-10-16 00:12:28.194652",Abra,0,333
"2023-10-17 00:12:31.753172",Abra,0,333
"2023-10-18 00:12:36.790208",Abra,0,333
"2023-10-19 00:12:29.573671",Abra,0,333
"2023-10-20 00:12:33.903968",Abra,0,333
"2023-10-21 00:12:30.424205",Abra,0,333
"2023-10-22 00:12:25.058205",Abra,0,333
"2023-10-23 00:12:22.975509",Abra,0,333
"2023-10-24 00:12:29.939350",Abra,0,333
"2023-10-25 00:12:29.175526",Abra,0,333
"2023-10-26 00:12:22.840059",Abra,0,333
"2023-10-27 00:12:26.000643",Abra,0,333
"2023-10-28 21:43:31.317484",Abra,0,333
"2023-10-29 00:12:26.830401",Abra,0,333
"2023-10-30 00:12:22.005363",Abra,0,333
"2023-10-31 00:12:24.889519",Abra,0,333
"2023-11-01 00:12:24.793711",Abra,0,333
"2023-11-02 00:12:23.726843",Abra,0,333
"2023-11-03 00:12:22.030931",Abra,0,333
"2023-10-01 00:12:44.767204",Aladinzs,245229,672
"2023-10-02 00:12:50.676305",Aladinzs,271489,672
"2023-10-03 00:12:42.309234",Aladinzs,369600,672
"2023-10-04 00:12:47.167914",Aladinzs,306284,672
"2023-10-05 00:12:45.512008",Aladinzs,104865,672
"2023-10-06 00:12:41.786298",Aladinzs,0,672
"2023-10-07 00:12:41.149898",Aladinzs,100730,672
"2023-10-08 00:12:41.130511",Aladinzs,-21880441,671
"2023-10-09 00:12:45.065831",Aladinzs,0,671
"2023-10-10 00:12:34.200693",Aladinzs,0,671
"2023-10-11 00:12:35.307119",Aladinzs,0,671
"2023-10-12 00:12:41.805945",Aladinzs,0,671
"2023-10-13 00:12:29.224701",Aladinzs,0,671
"2023-10-14 00:12:42.742646",Aladinzs,425730,671
"2023-10-15 00:12:33.982322",Aladinzs,68224,671
"2023-10-16 00:12:43.366487",Aladinzs,0,671
"2023-10-17 00:12:46.224722",Aladinzs,346455,671
"2023-10-18 00:12:51.140021",Aladinzs,79945,671
"2023-10-19 00:12:43.940199",Aladinzs,201225,671
"2023-10-20 00:12:47.994317",Aladinzs,0,671
"2023-10-21 00:12:44.427186",Aladinzs,0,671
"2023-10-22 00:12:39.597144",Aladinzs,782579,671
"2023-10-23 00:12:37.092939",Aladinzs,0,671
"2023-10-24 00:12:46.049019",Aladinzs,0,671
"2023-10-25 00:12:44.217383",Aladinzs,437451,671
"2023-10-26 00:12:37.999306",Aladinzs,392210,671
"2023-10-27 00:12:41.339722",Aladinzs,0,671
"2023-10-28 21:43:46.498395",Aladinzs,0,671
"2023-10-29 00:12:41.763542",Aladinzs,111885,671
"2023-10-30 00:12:36.923754",Aladinzs,590094,671
"2023-10-31 00:12:40.997369",Aladinzs,3867492,671
"2023-11-01 00:12:40.294523",Aladinzs,0,671
"2023-11-02 00:12:39.758733",Aladinzs,1890853,671
"2023-11-03 00:12:38.125176",Aladinzs,884697,671
"2023-10-01 00:13:00.903288",Alakazhan,0,537
"2023-10-02 00:13:11.204883",Alakazhan,0,537
"2023-10-03 00:12:57.570411",Alakazhan,0,537
"2023-10-04 00:13:03.789110",Alakazhan,0,537
"2023-10-05 00:13:00.776403",Alakazhan,0,537
"2023-10-06 00:12:57.078014",Alakazhan,0,537
"2023-10-07 00:12:56.509707",Alakazhan,0,537
"2023-10-08 00:12:56.384024",Alakazhan,0,537
"2023-10-09 00:13:00.966249",Alakazhan,0,537
"2023-10-10 00:12:48.998258",Alakazhan,0,537
"2023-10-11 00:12:50.127582",Alakazhan,0,537
"2023-10-12 00:12:56.857366",Alakazhan,0,537
"2023-10-13 00:12:45.617802",Alakazhan,0,537
"2023-10-14 00:12:57.925746",Alakazhan,0,537
"2023-10-15 00:12:50.312945",Alakazhan,0,537
"2023-10-16 00:12:58.466676",Alakazhan,0,537
"2023-10-17 00:13:01.878439",Alakazhan,0,537
"2023-10-18 00:13:14.134876",Alakazhan,0,537
"2023-10-19 00:12:59.500901",Alakazhan,0,537
"2023-10-20 00:13:06.096737",Alakazhan,0,537
"2023-10-21 00:12:59.361442",Alakazhan,0,537
"2023-10-22 00:12:54.630807",Alakazhan,0,537
"2023-10-23 00:12:52.898109",Alakazhan,0,537
"2023-10-24 00:13:01.750600",Alakazhan,0,537
"2023-10-25 00:12:59.227940",Alakazhan,0,537
"2023-10-26 00:12:53.603256",Alakazhan,0,537
"2023-10-27 00:12:56.179087",Alakazhan,0,537
"2023-10-28 21:44:03.178360",Alakazhan,0,537
"2023-10-29 00:12:56.423607",Alakazhan,0,537
"2023-10-30 00:12:51.493542",Alakazhan,0,537
"2023-10-31 00:12:55.605899",Alakazhan,0,537
"2023-11-01 00:12:54.897489",Alakazhan,0,537
"2023-11-02 00:12:54.492905",Alakazhan,0,537
"2023-11-03 00:12:52.779327",Alakazhan,0,537
"2023-10-01 00:10:50.006045",Angie,665825,867
"2023-10-02 00:10:52.915007",Angie,6585387,868
"2023-10-03 00:10:47.879605",Angie,29007562,868
"2023-10-04 00:10:48.530536",Angie,24003815,869
"2023-10-05 00:10:49.402811",Angie,54200976,871
"2023-10-06 00:10:47.513147",Angie,58037546,872
"2023-10-07 00:10:50.398075",Angie,17644060,873
"2023-10-08 00:10:49.086827",Angie,111852362,875
"2023-10-09 00:10:50.828585",Angie,2358720,876
"2023-10-10 00:10:47.520328",Angie,29055323,876
"2023-10-11 00:10:45.638821",Angie,40471868,877
"2023-10-12 00:10:47.613258",Angie,0,877
"2023-10-13 00:10:44.821320",Angie,0,877
"2023-10-14 00:10:46.468315",Angie,0,877
"2023-10-15 00:10:45.825215",Angie,593965,877
"2023-10-16 00:10:51.196111",Angie,31243941,878
"2023-10-17 00:10:49.549041",Angie,91195,878
"2023-10-18 00:10:51.882687",Angie,40113608,879
"2023-10-19 00:10:50.203903",Angie,29466105,880
"2023-10-20 00:10:51.042327",Angie,0,880
"2023-10-21 00:10:51.087694",Angie,61700940,882
"2023-10-22 00:10:44.516168",Angie,51234425,883
"2023-10-23 00:10:45.765839",Angie,0,883
"2023-10-24 00:10:46.435871",Angie,0,883
"2023-10-25 00:10:45.950610",Angie,0,883
"2023-10-26 00:10:45.355520",Angie,116762,883
"2023-10-27 00:10:46.228074",Angie,0,883
"2023-10-28 21:41:47.876465",Angie,0,883
"2023-10-29 00:10:46.392566",Angie,576324,883
"2023-10-30 00:10:44.769157",Angie,0,883
"2023-10-31 00:10:46.701375",Angie,60734,883
"2023-11-01 00:10:45.059244",Angie,0,883
"2023-11-02 00:10:46.426784",Angie,0,883
"2023-11-03 00:10:45.181659",Angie,0,883
"2023-10-21 00:13:11.798656",Annora,6085744,147
"2023-10-22 00:13:07.235196",Annora,2265498,150
"2023-10-23 00:13:04.329695",Annora,0,150
"2023-10-24 00:13:14.731004",Annora,0,150
"2023-10-25 00:13:13.369238",Annora,2275893,152
"2023-10-26 00:13:05.420119",Annora,0,152
"2023-10-27 00:13:09.053227",Annora,0,152
"2023-10-28 21:44:16.671009",Annora,11576138,162
"2023-10-29 00:13:09.758147",Annora,1030801,162
"2023-10-30 00:13:01.620694",Annora,252278,162
"2023-10-31 00:13:08.828109",Annora,0,162
"2023-11-01 00:13:08.007730",Annora,0,162
"2023-11-02 00:13:07.976751",Annora,9824016,170
"2023-11-03 00:13:04.265918",Annora,39420239,194
"2023-10-01 00:13:20.575333",Arua,53017357,865
"2023-10-02 00:13:30.759460",Arua,32242753,866
"2023-10-03 00:13:15.409649",Arua,81760773,868
"2023-10-04 00:13:24.301534",Arua,71346493,870
"2023-10-05 00:13:21.986679",Arua,73488299,872
"2023-10-06 00:13:15.795067",Arua,75370020,874
"2023-10-07 00:13:15.947289",Arua,1117953,874
"2023-10-08 00:13:15.392607",Arua,79028740,876
"2023-10-09 00:13:20.403995",Arua,45608467,877
"2023-10-10 00:13:05.176335",Arua,4684193,877
"2023-10-11 00:13:06.754795",Arua,10217270,877
"2023-10-12 00:13:14.805168",Arua,33267835,878
"2023-10-13 00:13:00.252901",Arua,1629200,878
"2023-10-14 00:13:15.070609",Arua,0,878
"2023-10-15 00:13:07.829211",Arua,0,878
"2023-10-16 00:13:15.706760",Arua,32448423,879
"2023-10-17 00:13:19.891312",Arua,41090072,880
"2023-10-18 00:13:32.232639",Arua,33012646,881
"2023-10-19 00:13:16.136937",Arua,124336,881
"2023-10-20 00:13:25.858542",Arua,4024455,881
"2023-10-21 00:13:26.313717",Arua,0,881
"2023-10-22 00:13:23.289828",Arua,0,881
"2023-10-23 00:13:22.379747",Arua,59378908,883
"2023-10-24 00:13:29.572735",Arua,77273637,885
"2023-10-25 00:13:28.182248",Arua,79356057,887
"2023-10-26 00:13:22.311073",Arua,1500042,887
"2023-10-27 00:13:23.898148",Arua,2923494,887
"2023-10-28 21:44:31.435996",Arua,224856,889
"2023-10-29 00:13:25.526095",Arua,91338334,889
"2023-10-30 00:13:20.910347",Arua,20684906,890
"2023-10-31 00:13:24.050445",Arua,1482516,890
"2023-11-01 00:13:24.147948",Arua,6064814,890
"2023-11-02 00:13:23.692568",Arua,0,890
"2023-11-03 00:13:22.722730",Arua,0,890
"2023-10-01 00:13:36.011009","Au Revoir",0,910
"2023-10-02 00:13:47.089619","Au Revoir",0,910
"2023-10-03 00:13:31.175474","Au Revoir",0,910
"2023-10-04 00:13:40.853504","Au Revoir",0,910
"2023-10-05 00:13:37.546637","Au Revoir",0,910
"2023-10-06 00:13:32.363641","Au Revoir",0,910
"2023-10-07 00:13:32.538234","Au Revoir",0,910
"2023-10-08 00:13:31.906473","Au Revoir",0,910
"2023-10-09 00:13:35.895946","Au Revoir",0,910
"2023-10-10 00:13:25.563762","Au Revoir",0,910
"2023-10-11 00:13:26.935364","Au Revoir",0,910
"2023-10-12 00:13:30.339742","Au Revoir",0,910
"2023-10-13 00:13:21.476369","Au Revoir",0,910
"2023-10-14 00:13:30.665265","Au Revoir",0,910
"2023-10-15 00:13:28.717352","Au Revoir",0,910
"2023-10-16 00:13:31.185896","Au Revoir",0,910
"2023-10-17 00:13:36.859214","Au Revoir",0,910
"2023-10-18 00:13:47.950653","Au Revoir",0,910
"2023-10-19 00:13:32.576137","Au Revoir",0,910
"2023-10-20 00:13:41.926375","Au Revoir",0,910
"2023-10-21 00:13:42.711504","Au Revoir",0,910
"2023-10-22 00:13:38.781452","Au Revoir",0,910
