date,name,amount,level
"2024-01-01 10:27:28.393427",Aladinzs,0,669
"2024-01-02 00:12:29.408186",Aladinzs,27053,669
"2024-01-03 00:12:35.609049",Aladinzs,21354,669
"2024-01-04 00:12:34.952802",Aladinzs,31757,669
"2024-01-05 00:12:31.063521",Aladinzs,43659,669
"2024-01-01 10:27:43.599659",Alakazhan,0,537
"2024-01-02 00:12:45.831889",Alakazhan,0,537
"2024-01-03 00:12:51.511548",Alakazhan,0,537
"2024-01-04 00:12:52.174352",Alakazhan,0,537
"2024-01-05 00:12:46.325333",Alakazhan,0,537
"2024-01-06 00:12:30.493532",Alakazhan,0,537
"2024-01-07 00:12:46.720121",Alakazhan,0,537
"2024-01-08 00:12:45.302165",Alakazhan,0,537
"2024-01-09 00:12:44.152606",Alakazhan,0,537
"2024-01-10 00:12:47.842515",Alakazhan,0,537
"2024-01-11 00:12:51.173538",Alakazhan,0,537
"2024-01-12 00:12:46.750304",Alakazhan,0,537
"2024-01-13 00:12:48.915706",Alakazhan,0,537
"2024-01-14 00:12:49.670314",Alakazhan,0,537
"2024-01-15 00:12:48.891820",Alakazhan,0,537
"2024-01-16 00:12:44.399637",Alakazhan,0,537
"2024-01-17 00:12:49.168561",Alakazhan,0,537
"2024-01-18 00:12:48.387281",Alakazhan,0,537
"2024-01-19 00:12:43.952067",Alakazhan,0,537
"2024-01-20 00:12:46.307498",Alakazhan,0,537
"2024-01-21 00:12:47.605079",Alakazhan,0,537
"2024-01-22 00:12:47.312499",Alakazhan,0,537
"2024-01-23 00:12:48.911905",Alakazhan,0,537
"2024-01-24 00:12:52.557524",Alakazhan,0,537
"2024-01-25 00:12:45.671092",Alakazhan,0,537
"2024-01-26 00:12:51.228425",Alakazhan,0,537
"2024-01-27 00:12:50.152971",Alakazhan,0,537
"2024-01-28 00:12:50.581021",Alakazhan,0,537
"2024-01-29 00:12:48.265282",Alakazhan,0,537
"2024-01-30 00:12:52.265421",Alakazhan,0,537
"2024-01-31 00:13:11.588249",Alakazhan,0,537
"2024-01-01 10:25:46.230209",Angie,0,908
"2024-01-02 00:10:45.780985",Angie,0,908
"2024-01-03 00:10:48.680452",Angie,219495,908
"2024-01-04 00:10:49.000210",Angie,134580,908
"2024-01-05 00:10:45.888176",Angie,281304853,915
"2024-01-06 00:10:46.880766",Angie,209628105,921
"2024-01-07 00:10:46.062748",Angie,300739643,927
"2024-01-08 00:10:46.959617",Angie,0,927
"2024-01-09 00:10:44.534830",Angie,0,927
"2024-01-10 00:10:46.432313",Angie,0,927
"2024-01-11 00:10:48.611444",Angie,352845,927
"2024-01-12 00:10:46.461668",Angie,152571,927
"2024-01-13 00:10:47.097630",Angie,88210722,929
